ID1,ID2,obsdttm,obsval
2,1,1/1/2011 0:00,134
2,1,1/12/2013 0:00,128
2,1,1/14/2012 0:00,148
2,1,1/15/2011 0:00,128
2,1,1/19/2013 0:00,152
2,1,1/21/2012 0:00,188
2,1,1/22/2011 0:00,156
2,1,1/26/2013 0:00,278
2,1,1/28/2012 0:00,140
2,1,1/29/2011 0:00,182
2,1,1/5/2013 0:00,162
2,1,1/7/2012 0:00,164
2,1,1/8/2011 0:00,96
2,1,10/1/2011 0:00,106
2,1,10/12/2013 0:00,142
2,1,10/13/2012 0:00,112
2,1,10/15/2011 0:00,98
2,1,10/19/2013 0:00,168
2,1,10/20/2012 0:00,160
2,1,10/22/2011 0:00,120
2,1,10/26/2013 0:00,128
2,1,10/27/2012 0:00,144
2,1,10/29/2011 0:00,84
2,1,10/5/2013 0:00,112
2,1,10/6/2012 0:00,120
2,1,10/8/2011 0:00,104
2,1,11/10/2012 0:00,168
2,1,11/12/2011 0:00,130
2,1,11/13/2010 0:00,142
2,1,11/16/2013 0:00,146
2,1,11/17/2012 0:00,140
2,1,11/19/2011 0:00,124
2,1,11/20/2010 0:00,104
2,1,11/23/2013 0:00,166
2,1,11/24/2012 0:00,146
2,1,11/26/2011 0:00,112
2,1,11/27/2010 0:00,100
2,1,11/3/2012 0:00,146
2,1,11/30/2013 0:00,136
2,1,11/5/2011 0:00,116
2,1,11/6/2010 0:00,144
2,1,11/9/2013 0:00,164
2,1,12/1/2012 0:00,118
2,1,12/10/2011 0:00,140
2,1,12/11/2010 0:00,154
2,1,12/14/2013 0:00,132
2,1,12/15/2012 0:00,146
2,1,12/17/2011 0:00,112
2,1,12/18/2010 0:00,104
2,1,12/21/2013 0:00,196
2,1,12/22/2012 0:00,140
2,1,12/24/2011 0:00,136
2,1,12/25/2010 0:00,102
2,1,12/28/2013 0:00,184
2,1,12/29/2012 0:00,150
2,1,12/3/2011 0:00,106
2,1,12/31/2011 0:00,192
2,1,12/4/2010 0:00,128
2,1,12/7/2013 0:00,112
2,1,12/8/2012 0:00,70
2,1,2/11/2012 0:00,210
2,1,2/12/2011 0:00,174
2,1,2/16/2013 0:00,240
2,1,2/18/2012 0:00,150
2,1,2/19/2011 0:00,168
2,1,2/2/2013 0:00,156
2,1,2/23/2013 0:00,192
2,1,2/25/2012 0:00,114
2,1,2/26/2011 0:00,180
2,1,2/4/2012 0:00,156
2,1,2/5/2011 0:00,156
2,1,2/9/2013 0:00,110
2,1,3/10/2012 0:00,184
2,1,3/12/2011 0:00,206
2,1,3/16/2013 0:00,166
2,1,3/17/2012 0:00,126
2,1,3/19/2011 0:00,136
2,1,3/2/2013 0:00,230
2,1,3/23/2013 0:00,162
2,1,3/24/2012 0:00,96
2,1,3/26/2011 0:00,144
2,1,3/3/2012 0:00,148
2,1,3/30/2013 0:00,208
2,1,3/31/2012 0:00,114
2,1,3/5/2011 0:00,170
2,1,3/9/2013 0:00,220
2,1,4/13/2013 0:00,134
2,1,4/14/2012 0:00,112
2,1,4/16/2011 0:00,124
2,1,4/2/2011 0:00,146
2,1,4/20/2013 0:00,178
2,1,4/21/2012 0:00,148
2,1,4/23/2011 0:00,112
2,1,4/27/2013 0:00,212
